id,name,price,sale_price
137,banjo,92.00,36.00
138,church-key,230.00,143.00
139,leggings,36.00,72.00
140,umami,276.00,182.00
141,ramps,41.00,169.00
142,portland,281.00,36.00
143,dreamcatcher,223.00,153.00
144,tofu,213.00,89.00
145,kickstarter,335.00,24.00
146,church-key,89.00,20.00
147,park,85.00,90.00
148,8-bit,11.00,92.00
149,heirloom,330.00,112.00
150,tofu,5.00,119.00
151,fixie,110.00,97.00
152,mixtape,87.00,152.00
153,Godard,293.00,47.00
154,pitchfork,304.00,5.00
155,sriracha,333.00,125.00
156,keytar,149.00,86.00
157,retro,127.00,54.00
158,austin,110.00,94.00
159,cleanse,252.00,181.00
160,keytar,375.00,110.00
161,sustainable,296.00,159.00
162,organic,320.00,29.00
163,vegan,356.00,58.00
164,vice,31.00,37.00
165,cornhole,259.00,53.00
166,VHS,206.00,122.00
167,loko,377.00,179.00
168,knausgaard,184.00,47.00
169,ethical,72.00,62.00
170,fixie,143.00,162.00
171,celiac,302.00,131.00
172,artisan,312.00,81.00
173,pop-up,115.00,64.00
174,polaroid,124.00,100.00
175,pickled,197.00,0.00
176,plaid,270.00,173.00
177,austin,84.00,127.00
178,PBR&B,35.00,69.00
179,disrupt,55.00,102.00
180,sartorial,194.00,81.00
181,tumblr,229.00,186.00
182,try-hard,81.00,114.00
183,austin,184.00,90.00
184,artisan,104.00,69.00
185,etsy,44.00,53.00
186,mumblecore,23.00,166.00
187,mlkshk,329.00,157.00
188,tacos,107.00,30.00
189,chia,219.00,118.00
190,bushwick,46.00,85.00
191,sriracha,354.00,70.00
192,synth,257.00,116.00
193,brunch,259.00,33.00
194,pitchfork,31.00,60.00
195,bespoke,36.00,63.00
196,cornhole,304.00,143.00
197,knausgaard,236.00,161.00
198,meggings,215.00,170.00
199,mustache,306.00,129.00
200,organic,228.00,90.00
201,chicharrones,296.00,77.00
202,williamsburg,271.00,122.00
203,occupy,300.00,95.00
204,distillery,333.00,68.00
205,YOLO,322.00,67.00
206,lo-fi,316.00,156.00
207,ramps,86.00,42.00
208,intelligentsia,264.00,47.00
209,everyday,66.00,23.00
210,kinfolk,128.00,72.00
211,pickled,229.00,6.00
212,disrupt,353.00,92.00
213,chambray,118.00,185.00
214,YOLO,222.00,190.00
215,seitan,365.00,88.00
216,forage,49.00,180.00
217,cornhole,47.00,153.00
218,cred,353.00,95.00
219,forage,307.00,84.00
220,microdosing,90.00,4.00
221,chartreuse,199.00,63.00
222,meditation,297.00,130.00
223,vice,160.00,5.00
224,+1,235.00,136.00
225,tousled,231.00,98.00
226,marfa,37.00,30.00
227,sustainable,5.00,109.00
228,squid,220.00,11.00
229,echo,28.00,126.00
230,seitan,12.00,11.00
231,chillwave,232.00,41.00
232,plaid,189.00,142.00
233,normcore,47.00,119.00
234,street,137.00,52.00
235,brunch,227.00,34.00
236,typewriter,332.00,93.00
237,salvia,277.00,134.00
238,kogi,249.00,149.00
239,bespoke,231.00,154.00
240,taxidermy,324.00,151.00
241,loko,291.00,101.00
242,meggings,300.00,146.00
243,polaroid,53.00,34.00
244,try-hard,187.00,53.00
245,freegan,266.00,59.00
246,hoodie,252.00,68.00
247,poutine,320.00,83.00
248,lumbersexual,112.00,110.00
249,tacos,362.00,5.00
250,wayfarers,165.00,52.00
251,heirloom,118.00,160.00
252,lo-fi,45.00,124.00
253,migas,282.00,102.00
254,post-ironic,212.00,58.00
255,flannel,15.00,37.00
256,williamsburg,241.00,0.00
257,meggings,286.00,21.00
258,hella,70.00,109.00
259,leggings,128.00,13.00
260,knausgaard,121.00,190.00
261,meditation,290.00,187.00
262,vice,318.00,117.00
263,mixtape,346.00,139.00
264,flexitarian,35.00,67.00
265,YOLO,142.00,170.00
266,meh,180.00,21.00
267,tattooed,171.00,158.00
268,waistcoat,354.00,9.00
269,hashtag,111.00,68.00
270,lo-fi,173.00,32.00
271,beard,86.00,166.00
272,vinegar,285.00,106.00
273,meh,138.00,161.00
274,ugh,262.00,108.00
275,biodiesel,293.00,184.00
276,helvetica,69.00,161.00
277,kogi,256.00,80.00
278,fixie,44.00,91.00
279,polaroid,190.00,69.00
280,drinking,167.00,29.00
281,mlkshk,57.00,102.00
282,gentrify,112.00,122.00
283,keffiyeh,137.00,17.00
284,Yuccie,364.00,95.00
285,retro,142.00,151.00
286,brooklyn,57.00,71.00
287,meditation,98.00,124.00
288,goth,282.00,43.00
289,goth,364.00,94.00
290,master,263.00,164.00
291,chartreuse,56.00,96.00
292,everyday,180.00,133.00
293,migas,303.00,181.00
294,health,303.00,172.00
295,pinterest,222.00,17.00
296,tilde,209.00,17.00
297,austin,129.00,91.00
298,portland,152.00,182.00
299,twee,52.00,57.00
300,gentrify,320.00,75.00
301,cliche,257.00,177.00
302,forage,221.00,67.00
303,carry,326.00,64.00
304,plaid,217.00,179.00
305,pickled,22.00,3.00
306,franzen,15.00,129.00
307,polaroid,72.00,83.00
308,loko,341.00,56.00
309,artisan,16.00,29.00
310,migas,299.00,15.00
311,Godard,281.00,158.00
312,typewriter,184.00,79.00
313,listicle,299.00,122.00
314,cray,5.00,105.00
315,ugh,212.00,60.00
316,vice,342.00,159.00
317,vinyl,155.00,85.00
318,marfa,76.00,69.00
319,mumblecore,297.00,138.00
320,tumblr,288.00,171.00
321,lo-fi,246.00,5.00
322,ethical,365.00,123.00
323,seitan,118.00,76.00
324,retro,259.00,135.00
325,typewriter,112.00,116.00
326,echo,307.00,132.00
327,cold-pressed,242.00,33.00
328,swag,261.00,29.00
329,chartreuse,281.00,142.00
330,literally,49.00,114.00
331,schlitz,232.00,185.00
332,narwhal,219.00,53.00
333,iPhone,334.00,18.00
334,butcher,13.00,147.00
335,artisan,12.00,31.00
336,venmo,274.00,158.00
337,Thundercats,200.00,19.00
338,hashtag,219.00,64.00
339,keytar,229.00,168.00
340,tilde,198.00,186.00
341,ramps,139.00,71.00
342,kombucha,378.00,19.00
343,flannel,377.00,56.00
344,DIY,201.00,75.00
345,cred,234.00,17.00
346,yr,341.00,122.00
347,asymmetrical,16.00,149.00
348,truffaut,12.00,147.00
349,vinyl,256.00,97.00
350,narwhal,220.00,141.00
351,health,166.00,176.00
352,lumbersexual,77.00,168.00
353,whatever,378.00,186.00
354,truffaut,86.00,179.00
355,ramps,273.00,149.00
356,listicle,164.00,54.00
357,plaid,292.00,172.00
358,echo,266.00,137.00
359,neutra,103.00,6.00
360,park,55.00,177.00
361,narwhal,354.00,28.00
362,ugh,135.00,6.00
363,humblebrag,169.00,69.00
364,cornhole,200.00,59.00
365,meh,377.00,147.00
366,8-bit,340.00,125.00
367,pitchfork,140.00,106.00
368,post-ironic,298.00,114.00
369,asymmetrical,134.00,116.00
370,meggings,315.00,156.00
371,dreamcatcher,16.00,143.00
372,carry,84.00,160.00
373,neutra,62.00,135.00
374,austin,165.00,126.00
375,leggings,134.00,49.00
376,occupy,102.00,155.00
377,literally,49.00,66.00
378,disrupt,207.00,85.00
379,umami,311.00,93.00
380,artisan,210.00,91.00
381,gentrify,111.00,86.00
382,mlkshk,118.00,150.00
383,master,105.00,165.00
384,echo,120.00,15.00
385,waistcoat,257.00,175.00
386,literally,12.00,160.00
387,lomo,25.00,121.00
388,austin,354.00,134.00
389,knausgaard,32.00,15.00
390,flexitarian,111.00,141.00
391,tattooed,48.00,67.00
392,farm-to-table,89.00,168.00
393,literally,146.00,14.00
394,pabst,239.00,41.00
395,truffaut,100.00,3.00
396,gluten-free,32.00,73.00
397,williamsburg,141.00,95.00
398,sustainable,132.00,19.00
399,mustache,169.00,152.00
400,beard,34.00,37.00
401,celiac,340.00,145.00
402,chillwave,146.00,83.00
403,offal,149.00,1.00
404,vice,143.00,178.00
405,franzen,47.00,180.00
406,scenester,97.00,44.00
407,cleanse,81.00,27.00
408,bushwick,374.00,63.00
409,knausgaard,166.00,46.00
410,bespoke,99.00,54.00
411,leggings,72.00,176.00
412,asymmetrical,29.00,101.00
413,humblebrag,176.00,27.00
414,locavore,273.00,75.00
415,health,271.00,147.00
416,locavore,224.00,123.00
417,meditation,169.00,109.00
418,letterpress,305.00,172.00
419,paleo,54.00,146.00
420,mustache,204.00,3.00
421,salvia,255.00,83.00
422,brunch,101.00,152.00
423,ugh,77.00,23.00
424,retro,373.00,180.00
425,pabst,265.00,59.00
426,organic,190.00,102.00
427,cliche,70.00,7.00
428,post-ironic,90.00,158.00
429,narwhal,16.00,181.00
430,wolf,71.00,5.00
431,leggings,281.00,135.00
432,humblebrag,24.00,156.00
433,gentrify,92.00,33.00
434,echo,36.00,103.00
435,bespoke,142.00,97.00
436,viral,151.00,113.00
437,pug,47.00,149.00
438,shoreditch,346.00,55.00
439,forage,92.00,17.00
440,wayfarers,107.00,36.00
441,master,312.00,61.00
442,post-ironic,257.00,177.00
443,pabst,11.00,86.00
444,marfa,97.00,186.00
445,cold-pressed,358.00,42.00
446,gastropub,205.00,164.00
447,distillery,111.00,60.00
448,skateboard,323.00,35.00
449,skateboard,344.00,58.00
450,banjo,96.00,167.00
451,intelligentsia,255.00,164.00
452,DIY,361.00,69.00
453,8-bit,358.00,63.00
454,drinking,63.00,88.00
455,mumblecore,198.00,5.00
456,swag,6.00,133.00
457,austin,96.00,108.00
458,Thundercats,177.00,124.00
459,mustache,150.00,106.00
460,pinterest,74.00,147.00
461,umami,224.00,165.00
462,mustache,272.00,182.00
463,sriracha,35.00,75.00
464,Godard,103.00,117.00
465,Godard,89.00,89.00
466,church-key,348.00,91.00
467,sustainable,199.00,42.00
468,williamsburg,130.00,78.00
469,mumblecore,301.00,99.00
470,biodiesel,52.00,185.00
471,shoreditch,361.00,109.00
472,quinoa,275.00,4.00
473,mixtape,327.00,161.00
474,twee,132.00,168.00
475,chambray,372.00,25.00
476,tumblr,351.00,5.00
477,church-key,298.00,59.00
478,90's,320.00,36.00
479,normcore,284.00,183.00
480,typewriter,144.00,76.00
481,dreamcatcher,343.00,5.00
482,actually,31.00,3.00
483,typewriter,189.00,172.00
484,authentic,211.00,161.00
485,try-hard,230.00,33.00
486,distillery,107.00,174.00
487,freegan,370.00,167.00
488,swag,159.00,56.00
489,irony,56.00,32.00
490,kogi,271.00,140.00
491,chicharrones,336.00,172.00
492,poutine,286.00,163.00
493,tattooed,257.00,83.00
494,scenester,54.00,132.00
495,DIY,344.00,156.00
496,meggings,214.00,30.00
497,squid,128.00,165.00
498,ethical,83.00,139.00
499,gastropub,22.00,64.00
500,authentic,191.00,6.00
501,occupy,263.00,186.00
502,sustainable,217.00,168.00
503,stumptown,114.00,172.00
504,XOXO,168.00,147.00
505,salvia,230.00,24.00
506,semiotics,82.00,125.00
507,knausgaard,329.00,35.00
508,roof,234.00,40.00
509,microdosing,112.00,168.00
510,occupy,127.00,76.00
511,ugh,222.00,172.00
512,iPhone,80.00,147.00
513,kickstarter,203.00,145.00
514,farm-to-table,47.00,10.00
515,forage,84.00,122.00
516,farm-to-table,166.00,137.00
517,schlitz,199.00,33.00
518,taxidermy,332.00,165.00
519,biodiesel,194.00,37.00
520,beard,271.00,125.00
521,swag,230.00,171.00
522,vice,306.00,83.00
523,listicle,152.00,41.00
524,sartorial,264.00,144.00
525,whatever,65.00,98.00
526,chia,119.00,159.00
527,chia,124.00,118.00
528,wolf,131.00,52.00
529,+1,242.00,107.00
530,cliche,346.00,68.00
531,neutra,256.00,96.00
532,cred,272.00,106.00
533,ramps,132.00,6.00
534,pabst,210.00,120.00
535,portland,78.00,76.00
536,wayfarers,300.00,87.00
537,sustainable,21.00,38.00
538,pour-over,235.00,63.00
539,leggings,302.00,131.00
540,mixtape,172.00,19.00
541,franzen,342.00,126.00
542,carry,145.00,187.00
543,synth,33.00,180.00
544,helvetica,97.00,6.00
545,quinoa,154.00,19.00
546,mumblecore,158.00,52.00
547,hashtag,251.00,104.00
548,kitsch,303.00,112.00
549,+1,62.00,53.00
550,hella,378.00,151.00
551,hella,100.00,17.00
552,fingerstache,121.00,4.00
553,shoreditch,39.00,140.00
554,mixtape,316.00,85.00
555,blog,241.00,142.00
556,DIY,213.00,30.00
557,celiac,254.00,185.00
558,cleanse,136.00,33.00
559,flexitarian,157.00,44.00
560,lumbersexual,291.00,86.00
561,flannel,313.00,114.00
562,keytar,247.00,115.00
563,cold-pressed,69.00,131.00
564,fixie,19.00,80.00
565,williamsburg,355.00,83.00
566,aesthetic,47.00,15.00
567,try-hard,233.00,106.00
568,typewriter,254.00,107.00
569,ennui,318.00,38.00
570,leggings,180.00,20.00
571,forage,303.00,101.00
572,knausgaard,209.00,47.00
573,locavore,213.00,174.00
574,XOXO,59.00,144.00
575,brooklyn,184.00,60.00
576,squid,91.00,105.00
577,organic,7.00,81.00
578,tofu,347.00,60.00
579,cardigan,118.00,71.00
580,yr,187.00,11.00
581,tousled,34.00,184.00
582,plaid,95.00,122.00
583,offal,206.00,104.00
584,etsy,105.00,29.00
585,church-key,245.00,147.00
586,kogi,154.00,46.00
587,bespoke,97.00,128.00
588,bespoke,91.00,36.00
589,knausgaard,61.00,81.00
590,literally,354.00,163.00
591,YOLO,376.00,101.00
592,forage,91.00,76.00
593,polaroid,18.00,188.00
594,carry,360.00,111.00
595,taxidermy,49.00,147.00
596,post-ironic,297.00,107.00
597,kogi,37.00,33.00
598,intelligentsia,239.00,157.00
599,swag,371.00,26.00
600,helvetica,72.00,27.00
601,kogi,273.00,68.00
602,banjo,122.00,69.00
603,cornhole,315.00,52.00
604,bushwick,376.00,162.00
605,beard,254.00,53.00
606,roof,25.00,82.00
607,scenester,102.00,89.00
608,banjo,264.00,70.00
609,vinyl,304.00,190.00
610,keffiyeh,157.00,184.00
611,humblebrag,103.00,17.00
612,lomo,316.00,70.00
613,swag,44.00,17.00
614,normcore,343.00,134.00
615,celiac,288.00,5.00
616,asymmetrical,271.00,11.00
617,humblebrag,157.00,0.00
618,XOXO,111.00,100.00
619,cronut,328.00,165.00
620,gentrify,210.00,3.00
621,celiac,62.00,166.00
622,blog,101.00,138.00
623,cleanse,9.00,25.00
624,austin,161.00,128.00
625,chillwave,49.00,40.00
626,letterpress,14.00,66.00
627,knausgaard,7.00,67.00
628,irony,272.00,93.00
629,distillery,297.00,94.00
630,distillery,307.00,175.00
631,plaid,175.00,153.00
632,biodiesel,17.00,56.00
633,helvetica,103.00,128.00
634,letterpress,200.00,115.00
635,chicharrones,323.00,139.00
636,90's,321.00,168.00
637,crucifix,172.00,109.00
638,offal,118.00,160.00
639,mlkshk,110.00,74.00
640,VHS,89.00,165.00
641,twee,280.00,182.00
642,etsy,19.00,123.00
643,drinking,259.00,169.00
644,goth,227.00,119.00
645,cred,319.00,3.00
646,banjo,82.00,148.00
647,selvage,97.00,176.00
648,tilde,44.00,43.00
649,hella,198.00,18.00
650,chia,201.00,31.00
651,cold-pressed,171.00,72.00
652,fingerstache,120.00,40.00
653,park,186.00,11.00
654,disrupt,342.00,32.00
655,organic,103.00,43.00
656,chicharrones,75.00,143.00
657,selfies,366.00,145.00
658,microdosing,98.00,82.00
659,occupy,167.00,74.00
660,wayfarers,198.00,169.00
661,occupy,49.00,154.00
662,salvia,313.00,99.00
663,cardigan,359.00,175.00
664,park,278.00,145.00
665,try-hard,89.00,128.00
666,vice,336.00,114.00
667,brooklyn,223.00,153.00
668,wolf,46.00,128.00
669,DIY,253.00,157.00
670,bitters,239.00,45.00
671,bitters,239.00,147.00
672,banjo,362.00,59.00
673,squid,111.00,24.00
674,lomo,338.00,13.00
675,XOXO,220.00,175.00
676,gluten-free,133.00,127.00
677,meditation,323.00,123.00
678,kickstarter,345.00,56.00
679,iPhone,178.00,189.00
680,vegan,15.00,139.00
681,Thundercats,259.00,128.00
682,try-hard,179.00,140.00
683,YOLO,246.00,79.00
684,banjo,65.00,178.00
685,neutra,206.00,58.00
686,knausgaard,259.00,81.00
687,migas,168.00,128.00
688,skateboard,337.00,10.00
689,cray,39.00,77.00
690,umami,139.00,152.00
691,intelligentsia,13.00,29.00
692,paleo,80.00,167.00
693,roof,119.00,13.00
694,chillwave,161.00,22.00
695,typewriter,319.00,138.00
696,aesthetic,208.00,52.00
697,kitsch,196.00,74.00
698,poutine,41.00,102.00
699,readymade,186.00,131.00
700,whatever,287.00,31.00
701,cardigan,204.00,77.00
702,artisan,105.00,169.00
703,banjo,125.00,145.00
704,swag,44.00,60.00
705,intelligentsia,21.00,125.00
706,fingerstache,156.00,37.00
707,church-key,365.00,54.00
708,echo,162.00,156.00
709,hoodie,179.00,123.00
710,taxidermy,43.00,79.00
711,typewriter,363.00,93.00
712,+1,26.00,174.00
713,freegan,24.00,176.00
714,helvetica,322.00,42.00
715,squid,110.00,133.00
716,8-bit,327.00,96.00
717,echo,343.00,147.00
718,fixie,350.00,24.00
719,distillery,125.00,167.00
720,pour-over,282.00,87.00
721,mlkshk,232.00,111.00
722,authentic,37.00,116.00
723,lomo,14.00,157.00
724,cronut,366.00,35.00
725,selvage,306.00,76.00
726,asymmetrical,144.00,81.00
727,williamsburg,36.00,49.00
728,taxidermy,294.00,150.00
729,offal,178.00,164.00
730,90's,337.00,2.00
731,keytar,279.00,28.00
732,selfies,338.00,152.00
733,seitan,71.00,117.00
734,venmo,266.00,86.00
735,williamsburg,288.00,24.00
736,flexitarian,330.00,47.00
737,aesthetic,177.00,64.00
738,fixie,101.00,141.00
739,polaroid,232.00,116.00
740,kombucha,146.00,0.00
741,drinking,246.00,32.00
742,meggings,85.00,14.00
743,distillery,312.00,51.00
744,ennui,27.00,187.00
745,loko,348.00,17.00
746,butcher,123.00,78.00
747,helvetica,145.00,169.00
748,selvage,35.00,25.00
749,kogi,185.00,85.00
750,hella,77.00,43.00
751,beard,144.00,39.00
752,normcore,74.00,29.00
753,fingerstache,11.00,132.00
754,knausgaard,125.00,45.00
755,cold-pressed,304.00,53.00
756,carry,169.00,59.00
757,sartorial,247.00,35.00
758,seitan,325.00,86.00
759,chambray,250.00,46.00
760,hella,67.00,152.00
761,ethical,102.00,119.00
762,whatever,175.00,167.00
763,90's,349.00,91.00
764,artisan,118.00,37.00
765,asymmetrical,98.00,167.00
766,truffaut,155.00,19.00
767,twee,105.00,173.00
768,blog,152.00,139.00
769,tousled,54.00,42.00
770,wolf,24.00,28.00
771,fingerstache,6.00,62.00
772,VHS,172.00,83.00
773,forage,66.00,11.00
774,Godard,279.00,119.00
775,typewriter,87.00,86.00
776,williamsburg,266.00,35.00
777,umami,144.00,144.00
778,polaroid,354.00,42.00
779,brooklyn,313.00,142.00
780,quinoa,16.00,80.00
781,butcher,61.00,31.00
782,etsy,37.00,117.00
783,cardigan,287.00,72.00
784,schlitz,100.00,18.00
785,organic,79.00,104.00
786,celiac,237.00,183.00
787,normcore,91.00,83.00
788,meditation,314.00,106.00
789,williamsburg,188.00,50.00
790,iPhone,376.00,1.00
791,skateboard,7.00,131.00
792,butcher,247.00,169.00
793,kitsch,281.00,189.00
794,street,28.00,155.00
795,letterpress,87.00,71.00
796,quinoa,165.00,43.00
797,kinfolk,364.00,157.00
798,bushwick,251.00,178.00
799,meh,325.00,14.00
800,pop-up,252.00,141.00
801,tofu,143.00,105.00
802,kickstarter,356.00,82.00
803,flexitarian,341.00,161.00
804,chicharrones,321.00,173.00
805,cardigan,343.00,49.00
806,everyday,75.00,114.00
807,roof,218.00,176.00
808,forage,14.00,93.00
809,locavore,346.00,16.00
810,ethical,312.00,139.00
811,marfa,204.00,160.00
812,meggings,122.00,123.00
813,keytar,65.00,48.00
814,blog,64.00,21.00
815,literally,354.00,2.00
816,mumblecore,9.00,167.00
817,health,30.00,189.00
818,bushwick,359.00,34.00
819,shoreditch,339.00,117.00
820,keytar,303.00,30.00
821,crucifix,331.00,181.00
822,bushwick,183.00,157.00
823,schlitz,353.00,82.00
824,williamsburg,303.00,53.00
825,street,338.00,72.00
826,shoreditch,154.00,38.00
827,Yuccie,100.00,183.00
828,drinking,311.00,130.00
829,williamsburg,158.00,94.00
830,beard,231.00,145.00
831,cred,173.00,103.00
832,aesthetic,369.00,58.00
833,park,233.00,161.00
834,aesthetic,224.00,7.00
835,literally,10.00,80.00
836,sustainable,249.00,83.00
837,semiotics,158.00,168.00
838,sriracha,28.00,86.00
839,hoodie,212.00,153.00
840,gastropub,329.00,92.00
841,park,288.00,102.00
842,loko,273.00,28.00
843,post-ironic,69.00,183.00
844,YOLO,80.00,102.00
845,poutine,65.00,37.00
846,cronut,28.00,168.00
847,+1,139.00,122.00
848,synth,363.00,139.00
849,post-ironic,219.00,29.00
850,ramps,182.00,48.00
851,selfies,336.00,177.00
852,retro,167.00,103.00
853,chartreuse,72.00,189.00
854,everyday,130.00,1.00
855,tousled,182.00,89.00
856,vegan,144.00,45.00
857,Thundercats,278.00,122.00
858,semiotics,379.00,152.00
859,keffiyeh,333.00,93.00
860,tattooed,30.00,127.00
861,wolf,281.00,117.00
862,microdosing,125.00,155.00
863,authentic,113.00,153.00
864,YOLO,66.00,99.00
865,occupy,196.00,40.00
866,irony,154.00,180.00
867,try-hard,84.00,187.00
868,mumblecore,38.00,189.00
869,lumbersexual,55.00,57.00
870,semiotics,200.00,0.00
871,vegan,128.00,5.00
872,asymmetrical,87.00,141.00
873,actually,21.00,164.00
874,pickled,203.00,118.00
875,knausgaard,267.00,16.00
876,kickstarter,232.00,0.00
877,PBR&B,88.00,24.00
878,organic,62.00,23.00
879,hammock,143.00,122.00
880,scenester,156.00,65.00
881,mustache,267.00,43.00
882,plaid,109.00,51.00
883,meditation,56.00,2.00
884,yr,125.00,44.00
885,wolf,301.00,178.00
886,chambray,32.00,180.00
887,kombucha,203.00,147.00
888,loko,313.00,11.00
889,meditation,360.00,129.00
890,synth,14.00,177.00
891,vinegar,32.00,96.00
892,ramps,314.00,33.00
893,gluten-free,171.00,84.00
894,ugh,253.00,95.00
895,literally,163.00,98.00
896,schlitz,138.00,189.00
897,echo,220.00,189.00
898,narwhal,296.00,0.00
899,taxidermy,216.00,137.00
900,literally,133.00,182.00
901,brunch,160.00,160.00
902,kickstarter,269.00,9.00
903,cornhole,108.00,82.00
904,pitchfork,52.00,18.00
905,lumbersexual,60.00,127.00
906,flannel,366.00,112.00
907,lumbersexual,274.00,65.00
908,goth,285.00,177.00
909,occupy,240.00,104.00
910,cred,356.00,153.00
911,authentic,293.00,150.00
912,mixtape,361.00,51.00
913,chartreuse,118.00,184.00
914,mustache,101.00,82.00
915,cray,328.00,64.00
916,church-key,331.00,174.00
917,selfies,255.00,83.00
918,lomo,46.00,136.00
919,narwhal,19.00,22.00
920,everyday,231.00,160.00
921,cornhole,193.00,181.00
922,offal,14.00,6.00
923,bespoke,102.00,36.00
924,YOLO,169.00,149.00
925,vinyl,106.00,94.00
926,leggings,41.00,69.00
927,Yuccie,314.00,151.00
928,gentrify,342.00,137.00
929,cliche,367.00,83.00
930,poutine,66.00,122.00
931,whatever,235.00,64.00
932,crucifix,372.00,162.00
933,disrupt,138.00,99.00
934,sustainable,340.00,180.00
935,beard,316.00,37.00
936,slow-carb,77.00,23.00
937,stumptown,354.00,106.00
938,franzen,132.00,157.00
939,lo-fi,96.00,131.00
940,typewriter,268.00,168.00
941,chia,284.00,155.00
942,schlitz,376.00,135.00
943,vinegar,226.00,34.00
944,irony,20.00,110.00
945,everyday,13.00,76.00
946,quinoa,338.00,61.00
947,semiotics,258.00,156.00
948,XOXO,369.00,45.00
949,leggings,55.00,79.00
950,taxidermy,90.00,157.00
951,carry,23.00,17.00
952,etsy,337.00,181.00
953,leggings,109.00,82.00
954,sustainable,362.00,89.00
955,seitan,90.00,1.00
956,heirloom,19.00,186.00
957,chillwave,338.00,31.00
958,ethical,354.00,146.00
959,VHS,200.00,178.00
960,PBR&B,378.00,52.00
961,asymmetrical,188.00,85.00
962,distillery,223.00,182.00
963,loko,274.00,93.00
964,cliche,154.00,185.00
965,cold-pressed,307.00,124.00
966,yr,274.00,36.00
