id,L,M,S,XL,XS,XXL,XXXL
148,3,28,17,8,2,14,8
149,0,22,6,20,2,9,28
150,24,22,16,27,23,8,10
151,3,6,27,23,3,21,8
152,23,28,4,3,3,8,15
153,26,23,18,20,4,22,5
154,15,24,13,2,12,27,14
155,8,7,22,23,4,19,16
156,9,0,17,7,24,21,5
157,19,26,0,6,28,5,5
158,5,23,8,25,8,6,1
159,6,10,18,6,6,24,7
160,14,2,13,0,27,19,27
161,27,5,26,21,15,20,15
162,19,28,1,27,20,25,27
163,23,6,13,22,21,25,27
164,7,20,20,19,9,9,0
165,5,8,18,0,19,20,0
166,2,3,20,19,27,22,15
167,15,5,0,24,18,26,26
168,7,2,5,13,3,8,6
169,20,13,6,15,4,27,9
170,8,10,3,4,13,25,3
171,14,8,26,21,27,6,22
172,12,7,13,25,2,8,20
173,3,14,23,9,25,5,5
174,23,3,0,1,24,23,19
175,7,5,19,0,16,10,8
176,20,19,1,19,28,25,17
177,28,17,17,18,4,5,9
178,8,8,28,20,22,22,26
179,19,25,13,6,1,9,9
180,3,16,18,16,4,17,0
181,9,4,27,1,7,19,0
182,12,20,8,26,2,28,4
183,19,15,3,16,7,15,13
184,11,22,8,25,4,28,12
185,11,19,4,26,7,18,26
186,9,12,6,4,25,3,24
187,2,19,19,13,11,0,9
188,16,19,13,13,6,4,21
189,20,19,1,5,20,1,13
190,28,21,11,10,23,2,13
191,3,14,13,19,17,0,7
192,28,16,22,0,25,11,10
193,20,22,27,11,12,27,4
194,2,17,13,13,2,13,20
195,16,5,12,24,2,4,3
196,7,8,26,13,1,6,10
197,13,5,26,27,9,12,4
198,21,6,1,5,28,12,18
199,8,17,24,17,21,1,1
200,3,14,20,1,4,12,23
201,7,6,25,10,13,1,27
202,22,1,6,21,27,7,16
203,1,3,17,28,6,7,9
204,3,25,13,20,1,8,5
205,4,12,5,18,5,20,8
206,13,6,14,2,28,27,19
207,7,16,10,1,12,16,26
208,18,11,25,21,9,17,16
209,2,10,0,8,15,7,24
210,19,15,19,4,0,24,12
211,15,20,24,17,21,27,18
212,25,24,13,15,8,15,13
213,2,26,14,20,25,28,0
214,14,28,20,14,9,5,0
215,21,14,20,8,19,16,9
216,25,8,26,8,25,19,18
217,12,6,2,12,7,27,26
218,28,7,18,7,4,23,25
219,10,4,2,3,6,2,25
220,1,28,13,10,7,26,10
221,15,10,28,22,17,25,21
222,11,6,14,26,0,22,18
223,24,23,14,25,13,3,4
224,2,12,27,23,24,16,2
225,22,4,25,14,24,2,24
226,4,7,4,22,19,25,3
227,27,24,7,24,11,20,1
228,16,20,2,25,21,19,22
229,3,6,1,4,4,17,25
230,15,19,17,16,19,13,7
231,18,14,7,18,11,19,23
232,26,9,28,13,10,18,14
233,9,14,0,27,24,20,21
234,11,4,18,24,28,11,27
235,7,3,23,21,15,27,14
236,3,20,28,19,13,17,25
237,27,12,19,0,25,27,17
238,20,5,16,19,5,19,17
239,26,7,22,17,7,5,7
240,2,16,12,11,17,16,8
241,13,5,10,0,23,22,0
242,20,1,23,18,4,16,8
243,25,7,0,22,28,11,26
244,15,20,4,23,11,2,22
245,6,18,28,10,16,16,10
246,23,28,28,12,26,6,20
247,27,0,26,27,15,12,7
248,2,11,8,0,8,4,7
249,10,27,15,22,20,22,23
250,13,4,21,13,9,7,9
251,9,2,20,9,17,0,26
252,5,25,17,3,28,21,1
253,1,26,8,24,6,10,14
254,3,11,21,26,26,5,19
255,23,12,18,10,17,9,23
256,24,17,28,10,1,20,17
257,23,6,19,21,2,5,4
258,0,4,16,27,1,2,16
259,9,17,16,21,23,6,23
260,28,23,5,24,3,6,23
261,22,1,9,9,26,8,15
262,28,2,26,16,0,16,9
263,23,28,10,22,27,21,3
264,10,4,10,2,22,1,24
265,18,21,9,5,21,13,9
266,15,7,12,22,8,26,7
267,24,26,9,27,23,18,18
268,5,7,3,16,12,18,20
269,5,11,2,19,16,5,21
270,4,6,15,4,3,27,23
271,13,1,2,0,9,11,2
272,8,19,21,18,4,20,21
273,27,2,4,24,9,3,17
274,8,20,17,24,6,21,15
275,18,2,2,10,27,17,10
276,22,23,27,18,6,3,0
277,27,17,27,5,2,21,17
278,18,3,16,3,16,24,10
279,23,16,7,7,21,9,13
280,2,20,2,11,9,4,17
281,18,9,18,13,8,27,4
282,21,17,4,10,23,28,17
283,9,21,27,16,28,20,26
284,25,20,22,15,4,22,9
285,20,9,9,15,24,7,16
286,3,6,15,20,20,13,5
287,16,20,22,16,18,8,12
288,14,23,23,5,20,11,6
289,3,2,15,25,1,12,10
290,26,14,26,12,1,5,15
291,1,5,18,2,3,21,3
292,26,12,25,25,7,10,24
293,22,21,17,20,6,18,28
294,1,17,9,23,26,2,11
295,12,12,24,22,5,10,24
296,8,0,18,1,24,22,0
297,4,20,5,17,19,23,17
298,24,24,21,9,19,28,6
299,26,25,17,0,22,6,10
300,6,24,18,9,27,6,15
301,28,14,27,21,3,12,15
302,2,25,15,21,13,19,13
303,3,1,9,7,20,9,10
304,6,19,5,17,17,9,27
305,11,6,1,8,8,25,21
306,26,8,24,14,14,22,18
307,7,11,2,4,6,25,26
308,11,28,18,16,0,4,2
309,21,6,26,27,19,23,27
310,2,9,4,13,6,20,17
311,15,23,27,23,6,23,1
312,6,22,28,15,21,5,23
313,21,24,23,8,13,20,25
314,17,5,11,27,19,8,17
315,21,19,5,7,24,4,0
316,14,27,6,24,25,28,8
317,3,7,2,24,22,5,20
318,14,27,8,5,0,20,16
319,4,5,21,12,21,22,14
320,19,20,22,8,2,9,9
321,8,15,6,15,3,19,20
322,15,1,11,6,3,18,27
323,15,21,14,0,24,2,4
324,0,8,26,0,0,5,27
325,27,28,1,1,12,24,26
326,18,6,5,21,25,24,24
327,6,0,5,1,26,12,20
328,25,15,9,19,16,25,20
329,19,18,8,20,7,5,23
330,14,19,27,8,22,6,22
331,26,0,26,10,20,18,3
332,25,24,11,6,28,27,21
333,17,27,28,22,3,10,26
334,5,11,14,21,11,6,18
335,19,12,16,0,22,1,13
336,6,20,7,24,21,18,24
337,26,23,15,22,17,14,23
338,27,2,27,6,13,10,7
339,3,7,3,21,20,1,27
340,19,24,0,27,13,1,3
341,24,23,27,22,26,4,9
342,28,13,27,24,12,8,6
343,24,10,13,16,22,1,16
344,5,18,27,15,11,21,18
345,20,14,1,0,2,9,25
346,7,13,12,18,8,12,27
347,1,14,12,3,9,16,5
348,3,4,14,0,9,20,22
349,24,17,9,27,26,3,21
350,19,11,1,5,20,21,14
351,4,0,26,0,7,22,24
352,26,19,13,14,21,2,17
353,28,0,3,4,13,20,20
354,28,2,12,8,10,5,28
355,8,25,2,0,0,9,28
356,24,27,6,26,11,22,28
357,17,6,20,2,28,1,23
358,20,11,3,10,25,0,24
359,28,6,6,25,8,6,28
360,9,2,15,20,9,20,24
361,22,16,11,3,9,9,6
362,3,15,4,0,14,23,8
363,9,6,17,23,17,11,27
364,21,14,25,2,5,17,22
365,7,16,24,5,28,14,0
366,3,0,25,2,2,13,4
367,27,24,15,16,3,26,5
368,7,15,17,0,0,13,13
369,3,27,18,8,23,17,15
370,8,14,15,3,28,15,1
371,9,24,7,16,26,6,25
372,0,18,15,8,13,14,8
373,8,6,17,10,25,26,22
374,22,15,0,22,28,13,28
375,7,16,26,27,26,13,12
376,8,9,11,11,20,24,12
377,27,21,27,1,9,5,27
378,6,13,26,6,6,15,15
379,12,14,11,28,26,5,11
380,8,27,12,10,14,26,4
381,8,4,3,19,2,27,28
382,15,18,12,3,20,12,25
383,15,23,28,28,19,26,21
384,3,3,22,17,15,21,1
385,25,0,5,16,21,25,17
386,10,13,2,7,27,12,18
387,21,11,28,16,10,26,27
388,0,19,14,23,8,28,28
389,19,18,2,10,3,0,5
390,13,26,19,18,14,13,17
391,6,11,15,4,5,1,19
392,10,19,28,16,26,4,16
393,17,5,6,9,1,1,20
394,19,12,27,25,25,23,28
395,16,26,23,9,1,18,24
396,23,16,1,19,0,13,9
397,20,25,25,15,24,7,12
398,23,3,19,17,27,22,15
399,3,24,19,16,13,28,15
400,27,7,16,26,13,18,11
401,2,0,3,16,24,24,21
402,24,7,14,5,4,18,9
403,25,8,1,4,8,7,22
404,25,10,26,2,8,23,23
405,8,9,23,10,6,25,5
406,22,7,24,2,4,3,20
407,0,11,27,15,15,6,28
408,16,2,8,3,11,0,11
409,26,28,0,8,11,13,19
410,19,24,28,21,21,11,19
411,2,16,2,25,21,15,27
412,20,3,13,15,1,17,19
413,24,16,18,9,18,18,18
414,10,5,25,19,24,15,13
415,8,3,8,12,13,4,25
416,1,12,7,2,17,3,26
417,2,14,24,7,28,15,1
418,28,7,8,22,3,20,6
419,21,12,18,2,13,23,13
420,21,0,23,6,8,9,6
421,2,2,20,19,19,5,26
422,15,17,18,21,16,5,8
423,5,19,16,24,3,5,25
424,13,4,21,20,9,18,0
425,27,25,3,5,24,18,25
426,17,28,1,12,23,21,18
427,10,23,21,4,21,9,8
428,13,12,11,8,21,18,11
429,28,11,1,25,16,15,28
430,10,7,28,11,12,12,15
431,2,23,16,16,4,24,4
432,11,20,2,24,27,6,21
433,12,5,26,2,23,7,23
434,1,27,8,9,27,19,11
435,6,9,11,17,20,18,14
436,26,10,16,27,1,17,13
437,12,23,16,12,25,15,17
438,7,18,22,24,26,4,3
439,7,10,11,1,21,18,20
440,16,28,5,23,22,19,28
441,16,22,28,5,19,1,22
442,3,6,24,17,6,13,23
443,22,17,16,4,12,3,7
444,25,24,11,22,21,7,22
445,24,14,10,26,24,11,13
446,25,21,5,2,12,16,22
447,21,17,28,10,25,5,0
448,0,9,26,19,11,23,10
449,12,12,14,6,9,19,21
450,3,23,2,9,9,6,8
451,16,13,23,2,7,3,0
452,4,14,22,19,24,6,24
453,19,0,15,6,9,14,7
454,15,12,13,6,12,27,15
455,23,14,6,27,9,4,10
456,9,11,27,16,9,18,6
457,23,0,19,19,1,4,15
458,20,9,18,10,7,0,5
459,18,6,17,22,22,0,6
460,7,3,6,4,19,7,26
461,20,26,19,22,15,22,22
462,17,0,27,27,7,7,7
463,23,9,24,16,6,0,10
464,8,3,8,25,3,28,13
465,20,2,4,14,2,11,15
466,20,9,24,7,12,15,3
467,13,3,21,26,15,26,4
468,28,12,25,3,0,16,3
469,7,19,3,11,23,8,20
470,19,11,24,19,8,2,16
471,6,5,2,4,26,16,28
472,1,16,4,6,25,8,21
473,0,9,23,17,25,22,9
474,23,4,6,26,23,17,12
475,20,2,23,18,21,1,9
476,10,24,15,0,28,17,0
477,21,15,18,26,5,6,4
478,11,19,7,2,15,7,27
479,9,13,15,22,17,1,11
480,3,14,25,22,21,9,23
481,6,9,2,21,10,8,16
482,19,24,12,16,22,24,26
483,2,27,1,28,9,15,8
484,4,24,4,24,23,12,27
485,14,9,5,1,4,5,20
486,22,12,9,2,10,25,10
487,1,16,16,22,2,5,26
488,18,10,1,27,0,11,15
489,7,2,23,27,23,23,20
490,9,13,1,22,1,27,9
491,15,20,12,17,18,13,3
492,25,0,12,23,28,22,4
493,13,14,8,25,22,2,1
494,5,4,11,27,28,3,27
495,28,6,15,14,3,19,11
496,12,18,0,20,21,6,7
497,26,15,26,23,8,17,0
498,13,28,16,8,12,13,2
499,9,26,0,26,25,19,27
500,17,28,8,9,17,6,16
501,2,9,22,8,22,19,1
502,15,4,27,27,18,13,7
503,25,16,28,28,18,24,10
504,15,8,7,3,25,4,16
505,14,26,9,24,2,13,3
506,16,9,5,25,17,15,16
507,16,7,22,23,23,21,27
508,20,12,26,11,28,6,12
509,10,16,2,12,5,25,9
510,16,18,8,26,3,17,12
511,28,22,17,20,16,22,16
512,2,27,8,14,20,20,14
513,17,21,23,4,11,10,18
514,17,14,11,18,22,11,20
515,8,12,4,2,21,21,4
516,4,3,23,18,9,14,25
517,12,23,3,9,15,17,5
518,3,14,11,5,4,25,1
519,18,9,23,4,9,10,20
520,14,28,23,0,15,16,11
521,5,18,7,3,0,22,19
522,27,11,15,1,24,15,23
523,2,25,1,8,12,27,19
524,8,1,4,5,6,22,8
525,28,7,19,13,19,20,25
526,14,3,15,16,16,9,11
527,10,27,21,28,2,20,2
528,24,6,28,1,17,21,7
529,15,14,6,9,9,17,4
530,22,1,16,2,14,17,14
531,13,18,25,10,5,15,13
532,5,28,0,5,20,19,9
533,20,18,27,6,12,7,5
534,23,15,23,21,25,18,16
535,16,9,11,9,16,28,8
536,23,21,18,0,10,14,7
537,20,15,14,3,20,18,0
538,26,12,1,9,8,18,24
539,25,3,17,20,12,26,27
540,12,2,3,2,1,12,4
541,20,27,12,27,4,11,3
542,7,10,17,28,9,23,5
543,1,5,11,6,21,28,16
544,27,5,10,3,17,23,2
545,2,3,26,10,25,10,10
546,27,9,20,9,0,6,15
547,15,18,3,16,27,19,28
548,19,13,24,24,10,17,23
549,26,22,4,7,1,11,5
550,17,1,0,18,27,25,19
551,11,18,0,8,7,7,15
552,22,17,14,25,0,22,23
553,5,5,7,25,20,26,23
554,1,19,7,1,5,3,26
555,28,4,8,16,21,25,17
556,23,2,25,4,21,19,13
557,27,3,18,0,4,9,3
558,19,27,5,28,16,1,12
559,9,20,18,23,8,8,15
560,3,12,3,20,25,7,4
561,12,6,26,24,14,13,10
562,8,7,3,27,1,11,27
563,0,19,9,7,9,16,8
564,12,0,10,4,27,7,12
565,0,6,3,20,24,26,23
566,14,10,28,22,18,23,11
567,11,4,10,2,9,17,0
568,17,13,13,9,7,11,4
569,12,6,12,8,12,25,9
570,13,18,27,19,1,17,17
571,14,3,24,28,7,13,25
572,25,20,22,26,17,16,18
573,23,0,23,14,0,3,6
574,28,14,16,21,17,16,21
575,18,4,20,15,7,15,15
576,24,10,13,2,20,24,10
577,9,7,20,20,1,9,16
578,0,20,4,4,28,0,2
579,8,22,7,22,2,11,14
580,11,23,25,20,6,24,25
581,19,25,10,15,2,12,1
582,9,28,27,28,2,23,7
583,24,8,9,27,24,5,17
584,9,21,12,2,25,3,3
585,0,15,8,28,3,27,14
586,18,12,2,10,5,2,5
587,18,1,25,21,4,5,10
588,11,26,24,26,14,0,0
589,26,17,24,19,13,10,3
590,19,4,26,10,11,3,0
591,24,18,27,19,27,10,16
592,18,28,11,27,13,6,18
593,18,23,21,3,14,5,24
594,5,17,12,10,5,6,13
595,5,10,1,7,3,22,10
596,13,24,19,10,12,14,18
597,4,17,18,23,1,26,28
598,10,22,28,20,4,27,19
599,15,18,18,1,6,17,13
600,12,16,18,11,15,19,26
601,10,12,2,11,16,11,18
602,8,12,10,22,7,7,8
603,22,21,2,27,4,13,21
604,7,28,6,3,5,1,22
605,21,10,19,28,6,19,16
606,20,24,6,0,5,3,18
607,26,27,2,27,25,17,28
608,5,13,22,20,24,27,24
609,17,6,13,10,1,26,22
610,1,17,26,2,25,4,23
611,20,26,7,8,21,15,8
612,18,1,22,26,11,18,24
613,13,13,19,16,15,14,28
614,3,16,17,15,8,8,12
615,1,3,0,23,9,14,21
616,28,13,19,5,3,7,0
617,16,19,20,19,19,24,18
618,1,7,2,7,26,24,28
619,28,13,21,2,0,2,16
620,28,24,7,6,12,4,28
621,14,17,1,24,0,8,16
622,17,9,16,22,16,3,6
623,27,23,10,4,6,6,5
624,5,19,22,28,27,28,14
625,22,20,11,12,4,12,2
626,12,23,14,14,17,27,0
627,1,11,11,26,7,19,2
628,19,3,6,23,1,7,9
629,21,10,4,20,3,10,2
630,19,12,18,12,24,12,11
631,8,6,6,26,15,6,15
632,11,25,10,18,8,12,5
633,8,8,0,15,18,0,1
634,9,27,18,11,20,21,23
635,25,4,4,26,19,0,11
636,21,4,2,22,5,1,5
637,21,27,3,28,27,12,1
638,11,7,8,13,17,14,12
639,14,26,22,15,2,13,17
640,7,17,26,9,7,2,22
641,11,24,2,0,4,26,1
642,8,15,5,5,27,18,19
643,24,16,1,15,6,15,24
644,27,15,14,13,23,16,0
645,23,28,10,27,12,8,10
646,18,7,7,10,6,21,13
647,9,12,8,7,8,0,16
648,14,23,22,12,2,19,1
649,7,27,3,1,4,19,1
650,8,9,16,27,23,1,11
651,7,18,15,8,7,1,27
652,4,17,10,24,26,10,16
653,7,27,19,14,20,27,6
654,28,14,3,23,24,13,25
655,15,18,21,27,11,21,16
656,13,28,17,21,27,28,8
657,28,3,20,2,21,20,5
658,22,25,16,7,11,19,25
659,1,6,1,8,10,21,9
660,28,24,7,21,15,17,8
661,18,28,15,17,3,6,0
662,10,21,11,15,21,10,27
663,15,16,13,12,26,26,16
664,6,22,28,24,5,25,1
665,12,3,19,11,7,7,16
666,21,3,7,24,4,3,24
667,28,20,28,20,12,1,2
668,5,26,3,0,23,10,25
669,2,19,14,9,17,22,25
670,22,13,3,7,17,23,23
671,9,19,27,27,21,2,9
672,11,12,6,21,21,23,18
673,23,4,24,22,13,7,22
674,0,11,20,5,22,28,14
675,16,4,21,16,28,19,14
676,25,12,26,1,9,18,17
677,24,23,19,3,17,28,0
678,6,22,26,13,2,20,14
679,20,11,3,21,0,0,10
680,22,22,4,25,23,13,20
681,16,20,13,11,25,22,22
682,12,22,9,28,14,8,28
683,12,5,8,3,27,14,4
684,15,19,8,25,25,12,21
685,18,4,15,10,15,17,8
686,22,15,8,2,8,25,0
687,2,28,27,28,9,6,0
688,14,8,26,22,18,13,19
689,18,16,11,11,19,28,15
690,27,9,18,18,28,9,13
691,0,21,10,9,26,24,28
692,5,15,21,8,28,28,14
693,16,1,3,17,12,13,24
694,23,12,28,27,16,22,0
695,28,12,18,20,18,22,26
696,22,12,8,19,5,17,19
697,12,17,9,13,13,27,17
698,12,8,20,22,9,7,14
699,14,18,22,27,27,6,25
700,10,20,23,14,2,13,9
701,20,28,18,19,10,14,7
702,19,21,4,3,13,11,28
703,6,13,6,4,25,3,23
704,11,0,25,1,10,5,11
705,4,3,25,5,6,8,28
706,20,24,21,4,8,25,5
707,11,5,9,1,8,1,28
708,10,15,5,17,18,2,26
709,14,12,1,9,26,10,18
710,5,16,0,22,26,26,23
711,9,17,12,4,28,25,20
712,18,25,13,26,23,13,1
713,13,24,2,6,20,7,21
714,2,9,10,2,28,4,5
715,26,4,2,28,3,19,10
716,16,20,8,21,4,0,16
717,7,23,28,6,4,3,3
718,18,13,20,8,0,7,24
719,4,11,27,5,13,10,4
720,10,0,28,2,5,7,24
721,10,3,5,3,0,13,26
722,17,9,1,3,4,6,0
723,3,6,25,26,10,1,7
724,13,23,21,24,4,20,19
725,15,2,28,13,21,17,9
726,18,13,28,13,6,0,0
727,12,3,16,28,9,21,10
728,19,21,3,6,13,24,9
729,4,11,10,25,5,17,21
730,4,13,8,24,18,27,23
731,2,10,0,4,3,10,14
732,5,19,13,18,19,15,17
733,13,25,13,25,12,2,21
734,0,25,3,28,23,2,13
735,20,12,15,8,27,25,23
736,12,4,3,6,20,17,0
737,24,18,0,7,18,25,7
738,5,21,6,7,2,19,16
739,9,17,7,16,21,10,4
740,4,26,18,21,24,3,20
741,1,10,4,16,1,2,17
742,22,5,20,21,10,17,22
743,7,15,26,11,2,23,27
744,8,20,23,0,18,28,27
745,25,1,16,12,5,26,21
746,8,9,1,21,2,14,25
747,17,16,21,15,0,15,28
748,25,12,22,25,14,16,19
749,12,12,22,21,1,20,5
750,3,17,12,15,6,27,24
751,23,11,21,0,24,5,23
752,22,18,11,8,23,9,14
753,11,10,9,0,24,20,25
754,28,21,9,5,18,25,12
755,9,0,21,12,14,27,11
756,22,12,9,21,3,1,18
757,5,10,8,26,18,15,22
758,19,12,7,2,19,12,22
759,10,24,12,22,2,18,26
760,12,20,11,19,1,3,20
761,23,10,17,0,8,13,2
762,26,3,4,3,6,16,12
763,2,4,16,21,17,2,2
764,13,17,9,18,14,24,9
765,24,18,6,12,21,19,17
766,0,11,9,23,12,19,23
767,11,3,22,0,5,28,20
768,3,5,24,2,20,3,0
769,10,0,27,20,23,10,7
770,21,6,17,27,8,27,16
771,0,27,9,20,19,7,2
772,4,14,21,9,5,5,20
773,24,17,19,1,9,12,14
774,9,19,24,21,3,22,7
775,15,19,27,28,20,12,28
776,22,16,6,20,3,0,1
777,10,7,0,18,20,16,0
778,0,26,13,27,9,26,14
779,11,25,7,2,1,24,5
780,6,0,18,1,21,13,12
781,4,5,24,9,27,16,27
782,15,15,19,0,22,6,14
783,16,11,13,15,7,12,15
784,4,2,18,28,21,6,1
785,22,3,2,2,5,13,12
786,3,17,14,6,3,3,26
787,26,16,12,0,24,13,2
788,26,1,7,18,23,19,9
789,10,5,21,10,0,1,26
790,21,19,8,8,0,18,14
791,17,1,5,19,25,16,3
792,0,10,15,13,16,13,24
793,7,22,24,7,3,17,3
794,25,20,12,20,4,18,22
795,15,6,7,27,14,20,1
796,7,12,19,18,20,18,23
797,12,13,3,19,24,17,14
798,8,10,8,26,12,17,14
799,7,18,10,3,18,6,16
800,14,21,22,2,28,15,6
801,13,9,19,22,10,6,5
802,1,5,3,27,5,7,18
803,4,1,12,14,14,14,12
804,7,1,3,26,5,14,19
805,10,23,24,15,7,1,9
806,27,9,22,8,17,3,25
807,7,19,17,12,4,14,17
808,22,24,19,1,11,25,1
809,19,20,23,18,12,4,22
810,12,10,4,26,18,23,0
811,7,6,13,21,18,9,27
812,25,24,16,7,18,10,14
813,21,17,2,9,9,4,23
814,24,5,27,24,3,6,19
815,5,19,24,9,7,8,4
816,2,14,22,14,13,11,0
817,11,13,2,19,21,19,3
818,23,8,8,4,19,18,28
819,6,24,13,6,8,0,2
820,9,19,10,11,10,7,9
821,9,11,10,0,16,13,2
822,17,5,24,3,16,3,27
823,24,1,27,11,14,24,0
824,8,28,20,11,3,18,26
825,25,1,13,18,18,14,7
826,25,28,20,8,13,13,14
827,5,0,22,18,26,10,12
828,0,1,23,13,12,18,17
829,0,15,11,4,8,28,2
830,5,0,19,21,10,1,14
831,15,25,20,8,8,23,28
832,4,1,6,12,20,6,14
833,14,9,11,24,18,17,25
834,24,28,0,2,11,24,0
835,25,12,0,22,5,18,28
836,24,13,0,28,27,6,27
837,23,3,13,15,8,5,8
838,8,17,5,13,26,12,9
839,12,14,1,26,14,1,5
840,13,26,27,20,1,18,3
841,7,18,21,15,1,19,27
842,9,0,7,12,10,15,22
843,9,25,28,7,27,25,21
844,16,0,10,5,8,1,22
845,12,9,26,3,20,2,22
846,7,4,15,17,28,16,7
847,23,21,0,4,16,23,21
848,5,2,24,23,27,20,22
849,23,8,28,28,26,25,11
850,22,11,11,22,9,14,6
851,9,21,11,4,6,16,0
852,27,10,13,27,4,2,6
853,21,22,10,21,11,4,3
854,28,7,14,22,16,12,6
855,10,15,22,22,20,13,17
856,12,22,4,8,2,0,12
857,1,13,18,26,5,16,3
858,6,10,0,3,12,19,0
859,26,22,13,18,19,14,27
860,3,4,11,26,21,17,21
861,17,15,6,12,3,17,9
862,11,7,19,6,16,17,4
863,4,8,1,16,22,5,18
864,2,5,26,2,2,18,2
865,1,0,18,11,10,13,22
866,0,9,25,1,28,0,20
867,22,27,21,1,16,3,11
868,27,23,15,3,5,21,5
869,3,19,28,1,21,14,20
870,6,2,17,3,11,4,24
871,24,5,11,25,14,24,21
872,4,1,14,14,3,23,13
